"date","value.x","value.y","value.x.x","value.y.y","value.x.x.x","value.y.y.y","value.x.x.x.x","value.y.y.y.y","value.x.x.x.x.x","value.y.y.y.y.y","value.x.x.x.x.x.x","value.y.y.y.y.y.y"
"1990-05-01","13.18750","13.37500","13.43750","13.43750","13.43750","13.50000","13.56250","13.56250","13.62500","13.68750","13.68750","13.75000"
"1990-05-02","13.25000","13.42188","13.48438","13.50000","13.50000","13.53125","13.56250","13.56250","13.62500","13.68750","13.68750","13.75000"
"1990-05-03","13.31250","13.43750","13.50000","13.51563","13.56250","13.56250","13.60938","13.62500","13.67188","13.73438","13.75000","13.81250"
"1990-05-04","13.31250","13.42188","13.43750","13.50000","13.50000","13.56250","13.59375","13.59375","13.65625","13.68750","13.71875","13.75000"
"1990-05-08","13.25000","13.32813","13.42188","13.42188","13.42188","13.42188","13.43750","13.43750","13.43750","13.48438","13.50000","13.50000"
"1990-05-09","13.37500","13.43750","13.43750","13.39063","13.37500","13.37500","13.37500","13.37500","13.37500","13.37500","13.37500","13.37500"
"1990-05-10","13.43750","13.43750","13.43750","13.43750","13.43750","13.43750","13.43750","13.43750","13.43750","13.43750","13.43750","13.43750"
"1990-05-11","13.37500","13.37500","13.37500","13.37500","13.37500","13.37500","13.31250","13.31250","13.29688","13.25000","13.25000","13.25000"
"1990-05-14","13.43750","13.43750","13.42750","13.42188","13.40625","13.40625","13.34375","13.32813","13.31250","13.31250","13.31250","13.31250"
"1990-05-15","13.48438","13.43750","13.43750","13.40625","13.39063","13.39063","13.37500","13.34375","13.34375","13.34375","13.34375","13.34375"
"1990-05-16","13.50000","13.50000","13.45313","13.42188","13.37500","13.37500","13.32813","13.31250","13.31250","13.31250","13.31250","13.31250"
"1990-05-17","13.50000","13.50000","13.50000","13.37500","13.37500","13.37500","13.34375","13.31250","13.31250","13.31250","13.31250","13.31250"
"1990-05-18","13.50000","13.50000","13.50000","13.37500","13.37500","13.37500","13.34375","13.32813","13.31250","13.31250","13.31250","13.31250"
"1990-05-21","13.50000","13.50000","13.50000","13.43750","13.37500","13.31250","13.28125","13.25000","13.21875","13.18750","13.17188","13.12500"
"1990-05-22","13.43750","13.43750","13.43750","13.37500","13.31250","13.25000","13.25000","13.18750","13.18750","13.15625","13.12500","13.12500"
"1990-05-23","13.62500","13.68750","13.68750","13.67188","13.62500","13.56250","13.56250","13.56250","13.51563","13.50000","13.50000","13.50000"
"1990-05-24","13.75000","13.75000","13.75000","13.67188","13.62500","13.56250","13.56250","13.50000","13.50000","13.48438","13.43750","13.43750"
"1990-05-25","13.93750","13.87500","13.81250","13.75000","13.70313","13.68750","13.62500","13.57813","13.56250","13.54688","13.50000","13.50000"
"1990-05-29","13.92188","13.87500","13.84375","13.75000","13.67188","13.59375","13.56250","13.50000","13.45313","13.45313","13.40625","13.37500"
"1990-05-30","13.84375","13.87500","13.87500","13.76563","13.65625","13.62500","13.59375","13.53125","13.46875","13.43750","13.43750","13.42188"
"1990-05-31","13.73438","13.75000","13.75000","13.68750","13.62500","13.50000","13.46875","13.43750","13.37500","13.34375","13.31250","13.25000"
"1990-06-01","13.65625","13.68750","13.68750","13.56250","13.46875","13.37500","13.32813","13.29688","13.25000","13.20313","13.17188","13.14063"
