"date","value.x","value.y","value.x.x","value.y.y","value.x.x.x","value.y.y.y","value.x.x.x.x","value.y.y.y.y","value.x.x.x.x.x","value.y.y.y.y.y","value.x.x.x.x.x.x","value.y.y.y.y.y.y"
"1986-01-02","8.12500",NA,"8.00000",NA,NA,"8.00000",NA,NA,"8.00000",NA,NA,"8.06250"
"1986-01-03","8.12500",NA,"8.06250",NA,NA,"8.06250",NA,NA,"8.06250",NA,NA,"8.12500"
"1986-01-06","8.18750",NA,"8.12500",NA,NA,"8.12500",NA,NA,"8.12500",NA,NA,"8.12500"
"1986-01-07","8.12500",NA,"8.12500",NA,NA,"8.12500",NA,NA,"8.12500",NA,NA,"8.12500"
"1986-01-08","8.00000",NA,"8.00000",NA,NA,"8.00000",NA,NA,"8.00000",NA,NA,"8.06250"
"1986-01-09","8.18750",NA,"8.18750",NA,NA,"8.18750",NA,NA,"8.25000",NA,NA,"8.31250"
"1986-01-10","8.25000",NA,"8.25000",NA,NA,"8.25000",NA,NA,"8.31250",NA,NA,"8.37500"
"1986-01-13","8.31250",NA,"8.37500",NA,NA,"8.37500",NA,NA,"8.50000",NA,NA,"8.56250"
"1986-01-14","8.37500",NA,"8.37500",NA,NA,"8.37500",NA,NA,"8.50000",NA,NA,"8.62500"
"1986-01-15","8.25000",NA,"8.25000",NA,NA,"8.25000",NA,NA,"8.43750",NA,NA,"8.50000"
"1986-01-16","8.18750",NA,"8.18750",NA,NA,"8.18750",NA,NA,"8.31250",NA,NA,"8.37500"
"1986-01-17","8.18750",NA,"8.18750",NA,NA,"8.18750",NA,NA,"8.25000",NA,NA,"8.31250"
"1986-01-20","8.25000",NA,"8.25000",NA,NA,"8.25000",NA,NA,"8.37500",NA,NA,"8.50000"
"1986-01-21","8.18750",NA,"8.18750",NA,NA,"8.18750",NA,NA,"8.31250",NA,NA,"8.37500"
"1986-01-22","8.18750",NA,"8.18750",NA,NA,"8.18750",NA,NA,"8.31250",NA,NA,"8.37500"
"1986-01-23","8.18750",NA,"8.18750",NA,NA,"8.25000",NA,NA,"8.34380",NA,NA,"8.43750"
"1986-01-24","8.18750",NA,"8.18750",NA,NA,"8.18750",NA,NA,"8.31250",NA,NA,"8.37500"
"1986-01-27","8.12500",NA,"8.12500",NA,NA,"8.12500",NA,NA,"8.25000",NA,NA,"8.31250"
"1986-01-28","8.06250",NA,"8.06250",NA,NA,"8.12500",NA,NA,"8.18750",NA,NA,"8.25000"
"1986-01-29","8.06250",NA,"8.06250",NA,NA,"8.06250",NA,NA,"8.18750",NA,NA,"8.25000"
"1986-01-30","8.06250",NA,"8.06250",NA,NA,"8.12500",NA,NA,"8.18750",NA,NA,"8.25000"
"1986-01-31","8.06250",NA,"8.06250",NA,NA,"8.12500",NA,NA,"8.18750",NA,NA,"8.25000"
